IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
lavoro;Arbeit;L'Italia è una Repubblica democratica, fondata sul lavoro.;Der Arbeiter ist verpflichtet, sich auf Anordnung des Arbeitgebers außerhalb der regelmäßigen Arbeitszeit an einer dem Arbeitgeber anzuzeigenden Stelle aufzuhalten, urn auf Abruf die Arbeit aufnehmen zu können (Rufbereitschaft).
motivo di ricorso;Revisionsgrund;Il primo motivo di ricorso si palesa fondato e va accolto.;
probiviro;Schiedskommission;I probiviri decidono quali arbitri amichevoli compositori.;
attività bancaria;gewerbsmäßig betreiben von Bankgeschäft;L'esercizio dell'attività bancaria è riservato alle banche.;
paternità;Vaterschaft;La sola dichiarazione della madre non esclude la paternità.;Vater eines Kindes ist der Mann [...] der die Vaterschaft anerknannt hat oder 3. dessen Vaterschaft nach § 1600d oder § 640h Abs2 der Zivilprozessordnung gerichtlich festgestellt ist.
genuinità;Authentizität;La genuinità può essere intesa in senso naturale o formale.;Die Bestimmung der Gehalte an stabilen Isotopen der Elemente Kohlenstoff, Wasserstoff, Sauerstoff, Stickstoff und Schwefel wird seit einigen Jahren verstärkt eingesetzt, um die Authentizität von Lebensmittel und Lebensmittelzusatzstoffen zu prüfen bzw. deren Herkunft nachzuweisen.
giustizia sociale;sozial Gerechtigkeit;Misure urgenti per la competitività e la giustizia sociale.;Das Recht des Sozialgesetzbuchs soll zur Verwirklichung sozialer Gerechtigkeit und sozialer Sicherheit Sozialleistungen einschließlich sozialer und erzieherischer Hilfen gestalten. Es soll dazu beitragen, ein menschenwürdiges Dasein zu sichern, gleiche Voraussetzungen für die freie Entfaltung der Persönlichkeit, insbesondere auch für junge Menschen, zu schaffen, die Familie zu schützen und zu fördern, den Erwerb des Lebensunterhalts durch eine frei gewählte Tätigkeit zu ermöglichen und besondere Belastungen des Lebens, auch durch Hilfe zur Selbsthilfe, abzuwenden oder auszugleichen.
mandatario;Mandatar;Il mandatario non può eccedere i limiti fissati nel mandato.;Der Beauftragte ist verpflichtet, dem Auftraggeber alles, was er zur Ausführung des Auftrags erhält und was er aus der Geschäftsbesorgung erlangt, herauszugeben.
momento;Zeitpunkt;La capacità giuridica si acquista dal momento della nascita.;Die Aufrechnung bewirkt, dass die Forderungen, soweit sie sich decken, als in dem Zeitpunkt erloschen gelten, in welchem sie zur Aufrechnung geeignet einander gegenübergetreten sind.
comunione;Gemeinschaft;Le quote dei partecipanti alla comunione si presumono eguali.;Jeder Teilhaber kann jederzeit die Aufhebung der Gemeinschaft verlangen.
