SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV)
abbreviated forms;1;initialism;L’RSPP è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Il RSPP è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Chi ha il compito di nominare il RSPP?;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un RSPP interno all'azienda oppure può affidare il ruolo ad un consulente RSPP esterno.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;L’R.S.P.P. è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Il R.S.P.P. è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Chi ha il compito di nominare il R.S.P.P.?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un R.S.P.P. interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism + full form;L’RSPP (Responsabile del Servizio di Prevenzione e Protezione) è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism + full form;Il Responsabile del servizio di prevenzione e protezione (RSPP) è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism + full form;Chi ha il compito di nominare il R.S.P.P. (Responsabile del servizio di prevenzione e protezione)?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism + full form;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un Responsabile del servizio di prevenzione e protezione (RSPP) interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;1;initialism + full form;Il Datore di Lavoro può nominare un R.S.P.P. (Responsabile del Servizio di Prevenzione e Protezione) interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del SPP.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un SPP interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Il SPP è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Il datore di lavoro organizza il SPP nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il SPP sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
